"año";"jurisdicción";"unidad";"superficie_total_incendiada";"superficie_afectada_por_incendios_bosque_nativo"
"1993";"Buenos Aires";"hectáreas";" -   ";" -   "
"1993";"Catamarca";"hectáreas";" -   ";" -   "
"1993";"Chaco";"hectáreas";" -   ";" -   "
"1993";"Chubut";"hectáreas";"149.5";"10"
"1993";"Córdoba";"hectáreas";"232941";"59995"
"1993";"Corrientes";"hectáreas";"1727";" -   "
"1993";"Entre Ríos";"hectáreas";"75";"75"
"1993";"Formosa";"hectáreas";"31";" -   "
"1993";"Jujuy";"hectáreas";" -   ";" -   "
"1993";"La Pampa";"hectáreas";"1207510";"1207510"
"1993";"La Rioja";"hectáreas";" -   ";" -   "
"1993";"Mendoza";"hectáreas";" -   ";" -   "
"1993";"Misiones";"hectáreas";" -   ";" -   "
"1993";"Neuquén";"hectáreas";"340.85";"282.31"
"1993";"Río Negro";"hectáreas";"111";"108"
"1993";"Salta";"hectáreas";" -   ";" -   "
"1993";"San Juan";"hectáreas";" -   ";" -   "
"1993";"San Luis";"hectáreas";"330147";" -   "
"1993";"Santa Cruz";"hectáreas";"6351";"727"
"1993";"Santa Fe";"hectáreas";" -   ";" -   "
"1993";"Santiago del Estero";"hectáreas";"13000";"9100"
"1993";"Tierra del Fuego";"hectáreas";"28.05";"28.05"
"1993";"Tucumán";"hectáreas";"4412";"3703"
"1994";"Buenos Aires";"hectáreas";" -   ";" -   "
"1994";"Catamarca";"hectáreas";" -   ";" -   "
"1994";"Chaco";"hectáreas";" -   ";" -   "
"1994";"Chubut";"hectáreas";"3296.75";"2157.75"
"1994";"Córdoba";"hectáreas";"240196";"187812"
"1994";"Corrientes";"hectáreas";"140";" -   "
"1994";"Entre Ríos";"hectáreas";"91";"91"
"1994";"Formosa";"hectáreas";"9";" -   "
"1994";"Jujuy";"hectáreas";" -   ";" -   "
"1994";"La Pampa";"hectáreas";"621840";"167890"
"1994";"La Rioja";"hectáreas";"47150";"10600"
"1994";"Mendoza";"hectáreas";" -   ";" -   "
"1994";"Misiones";"hectáreas";" -   ";" -   "
"1994";"Neuquén";"hectáreas";"18050.26";"0.18"
"1994";"Río Negro";"hectáreas";"3271";"3063"
"1994";"Salta";"hectáreas";" -   ";" -   "
"1994";"San Juan";"hectáreas";" -   ";" -   "
"1994";"San Luis";"hectáreas";"25513";" -   "
"1994";"Santa Cruz";"hectáreas";"1684";"43"
"1994";"Santa Fe";"hectáreas";" -   ";" -   "
"1994";"Santiago del Estero";"hectáreas";"50000";"35000"
"1994";"Tierra del Fuego";"hectáreas";"320.04";"68.04"
"1994";"Tucumán";"hectáreas";"65";" -   "
"1995";"Buenos Aires";"hectáreas";"3000";" -   "
"1995";"Catamarca";"hectáreas";" -   ";" -   "
"1995";"Chaco";"hectáreas";" -   ";" -   "
"1995";"Chubut";"hectáreas";"3072.81";"982.95"
"1995";"Córdoba";"hectáreas";"300639";"122260"
"1995";"Corrientes";"hectáreas";"7899";" -   "
"1995";"Entre Ríos";"hectáreas";"2269";" -   "
"1995";"Formosa";"hectáreas";"500";"500"
"1995";"Jujuy";"hectáreas";" -   ";" -   "
"1995";"La Pampa";"hectáreas";"148720";"148720"
"1995";"La Rioja";"hectáreas";"4514";"2"
"1995";"Mendoza";"hectáreas";" -   ";" -   "
"1995";"Misiones";"hectáreas";" -   ";" -   "
"1995";"Neuquén";"hectáreas";"20354.12";"1124.99"
"1995";"Río Negro";"hectáreas";"9732.3";"123.2"
"1995";"Salta";"hectáreas";"660";"255"
"1995";"San Juan";"hectáreas";" -   ";" -   "
"1995";"San Luis";"hectáreas";"196312";"75311"
"1995";"Santa Cruz";"hectáreas";"5695";" -   "
"1995";"Santa Fe";"hectáreas";" -   ";" -   "
"1995";"Santiago del Estero";"hectáreas";"27294";"13919"
"1995";"Tierra del Fuego";"hectáreas";"215.95";"2.95"
"1995";"Tucumán";"hectáreas";"68.54";"22.77"
"1996";"Buenos Aires";"hectáreas";"950";" -   "
"1996";"Catamarca";"hectáreas";"148709";"68728"
"1996";"Chaco";"hectáreas";"6183.76";"2540"
"1996";"Chubut";"hectáreas";"11457.23";"9640.36"
"1996";"Córdoba";"hectáreas";"49812";"43325"
"1996";"Corrientes";"hectáreas";"6981";" -   "
"1996";"Entre Ríos";"hectáreas";"1556";"449"
"1996";"Formosa";"hectáreas";"4530";" -   "
"1996";"Jujuy";"hectáreas";"1980";"1800"
"1996";"La Pampa";"hectáreas";"20600";"20600"
"1996";"La Rioja";"hectáreas";"975";"770"
"1996";"Mendoza";"hectáreas";"6615";"2500"
"1996";"Misiones";"hectáreas";"5305";"2430"
"1996";"Neuquén";"hectáreas";"70258.33";"9.84"
"1996";"Río Negro";"hectáreas";"33743.49";"3336.94"
"1996";"Salta";"hectáreas";"2391";"815"
"1996";"San Luis";"hectáreas";"15370";"15370"
"1996";"Santa Cruz";"hectáreas";"2856.25";"39"
"1996";"Santa Fe";"hectáreas";"49038";"465"
"1996";"Santiago del Estero";"hectáreas";"1750";"1500"
"1996";"Tierra del Fuego";"hectáreas";"105.11";"93.1"
"1996";"Tucumán";"hectáreas";"31.5";" -   "
"1997";"Buenos Aires";"hectáreas";"3902.25";"489"
"1997";"Catamarca";"hectáreas";"45900";" -   "
"1997";"Chaco";"hectáreas";"7660";"2711"
"1997";"Chubut";"hectáreas";"3621.94";"151.29"
"1997";"Córdoba";"hectáreas";"39517";"22213"
"1997";"Corrientes";"hectáreas";"424";"58"
"1997";"Entre Ríos";"hectáreas";"857";"163"
"1997";"Formosa";"hectáreas";"2686";" -   "
"1997";"Jujuy";"hectáreas";"274";" -   "
"1997";"La Pampa";"hectáreas";"31780";"31770"
"1997";"La Rioja";"hectáreas";"25003";" -   "
"1997";"Mendoza";"hectáreas";"4100";"2450"
"1997";"Misiones";"hectáreas";"2160";"54"
"1997";"Neuquén";"hectáreas";"17280.38";"40.14"
"1997";"Río Negro";"hectáreas";"10481.53";"5153.79"
"1997";"Salta";"hectáreas";"40185";"23694"
"1997";"San Juan";"hectáreas";"438.5";" -   "
"1997";"San Luis";"hectáreas";"6436";"2112"
"1997";"Santa Cruz";"hectáreas";"21381";" -   "
"1997";"Santa Fe";"hectáreas";"492";"40"
"1997";"Santiago del Estero";"hectáreas";"8000";"500"
"1997";"Tierra del Fuego";"hectáreas";"148.08";"23"
"1997";"Tucumán";"hectáreas";"1321";" -   "
"1998";"Buenos Aires";"hectáreas";"38970.5";"401"
"1998";"Catamarca";"hectáreas";"2100";"500"
"1998";"Chaco";"hectáreas";"14726.26";" -   "
"1998";"Chubut";"hectáreas";"7671.88";"4045.19"
"1998";"Córdoba";"hectáreas";"20504";"8817"
"1998";"Corrientes";"hectáreas";"315";" -   "
"1998";"Entre Ríos";"hectáreas";"461";"8"
"1998";"Formosa";"hectáreas";"711.16";" -   "
"1998";"Jujuy";"hectáreas";"498.61";"449"
"1998";"La Pampa";"hectáreas";"389740";"137265"
"1998";"La Rioja";"hectáreas";"21012";"1802"
"1998";"Mendoza";"hectáreas";"111460";"12403"
"1998";"Misiones";"hectáreas";"5514";"286"
"1998";"Neuquén";"hectáreas";"12392.83";"68.05"
"1998";"Río Negro";"hectáreas";"82698.98";"9384.01"
"1998";"Salta";"hectáreas";"23042";"14024"
"1998";"San Juan";"hectáreas";"263.5";" -   "
"1998";"San Luis";"hectáreas";"146637";"87015"
"1998";"Santa Cruz";"hectáreas";"3483";" -   "
"1998";"Santa Fe";"hectáreas";"534.75";" -   "
"1998";"Santiago del Estero";"hectáreas";"2709";"940"
"1998";"Tierra del Fuego";"hectáreas";"533.74";"53.06"
"1999";"Buenos Aires";"hectáreas";"41574";"1028"
"1999";"Catamarca";"hectáreas";"1300";" -   "
"1999";"Chaco";"hectáreas";"9381.47";"406"
"1999";"Chubut";"hectáreas";"27437.74";"8903.63"
"1999";"Córdoba";"hectáreas";"59933";"22306"
"1999";"Corrientes";"hectáreas";"8176";"12"
"1999";"Entre Ríos";"hectáreas";"20236.5";"7118"
"1999";"Formosa";"hectáreas";"6240";" -   "
"1999";"Jujuy";"hectáreas";"329";"43"
"1999";"La Pampa";"hectáreas";"77270";"34830"
"1999";"La Rioja";"hectáreas";"67025";"3"
"1999";"Mendoza";"hectáreas";"67238.5";"26246.5"
"1999";"Misiones";"hectáreas";"3675";"1476"
"1999";"Neuquén";"hectáreas";"128756.19";"322.66"
"1999";"Río Negro";"hectáreas";"59385.11";"10870.8"
"1999";"Salta";"hectáreas";"14835";"5865"
"1999";"San Juan";"hectáreas";"1083.75";" -   "
"1999";"San Luis";"hectáreas";"87157";"34729"
"1999";"Santa Cruz";"hectáreas";"19097.75";"16.25"
"1999";"Santa Fe";"hectáreas";"363.79";"44"
"1999";"Santiago del Estero";"hectáreas";"1200";"300"
"1999";"Tierra del Fuego";"hectáreas";"213.81";"88.83"
"1999";"Tucumán";"hectáreas";"2818";" -   "
"2000";"Buenos Aires";"hectáreas";"17926.5";"1116"
"2000";"Catamarca";"hectáreas";"77233";"27000"
"2000";"Chaco";"hectáreas";"2639.05";"169"
"2000";"Chubut";"hectáreas";"133.6";"26.88"
"2000";"Ciudad Autónoma de Buenos Aires";"hectáreas";"32";"1.5"
"2000";"Córdoba";"hectáreas";"89920";"20637.95"
"2000";"Corrientes";"hectáreas";"6014.2";"12"
"2000";"Entre Ríos";"hectáreas";"1175";"646"
"2000";"Formosa";"hectáreas";"731.5";" -   "
"2000";"Jujuy";"hectáreas";"1167";"18"
"2000";"La Pampa";"hectáreas";"1411981.4";"290153.7"
"2000";"La Rioja";"hectáreas";"52178";"10880"
"2000";"Mendoza";"hectáreas";"609834";"385778.9"
"2000";"Misiones";"hectáreas";"3862.47";"161"
"2000";"Neuquén";"hectáreas";"15180.51";"0.04"
"2000";"Río Negro";"hectáreas";"155753.09";"27619.02"
"2000";"Salta";"hectáreas";"30793";"15533"
"2000";"San Juan";"hectáreas";"803.5";" -   "
"2000";"San Luis";"hectáreas";"299556";"149100"
"2000";"Santa Cruz";"hectáreas";"7378.25";"122.25"
"2000";"Santa Fe";"hectáreas";"2087";"127.5"
"2000";"Santiago del Estero";"hectáreas";"4732";"2730"
"2000";"Tierra del Fuego";"hectáreas";"22.41";"22.31"
"2000";"Tucumán";"hectáreas";"15800";"11800"
"2001";"Buenos Aires";"hectáreas";"75569.87";"19997.57"
"2001";"Catamarca";"hectáreas";"1916";" -   "
"2001";"Chaco";"hectáreas";"6289.18";"55.05"
"2001";"Chubut";"hectáreas";"5885.48";"4425.41"
"2001";"Ciudad Autónoma de Buenos Aires";"hectáreas";"15.95";" -   "
"2001";"Córdoba";"hectáreas";"83173";"19234"
"2001";"Corrientes";"hectáreas";"2824";"762"
"2001";"Entre Ríos";"hectáreas";"480.7";"67"
"2001";"Formosa";"hectáreas";"5596";" -   "
"2001";"Jujuy";"hectáreas";"134.3";" -   "
"2001";"La Pampa";"hectáreas";"2913817";"579124"
"2001";"La Rioja";"hectáreas";"65038";"7400"
"2001";"Mendoza";"hectáreas";"420340";"241056"
"2001";"Misiones";"hectáreas";"2923.5";"156"
"2001";"Neuquén";"hectáreas";"22551.78";"0.08"
"2001";"Río Negro";"hectáreas";"938044.58";"35393.25"
"2001";"Salta";"hectáreas";"47611";"11442"
"2001";"San Juan";"hectáreas";"574.5";"1"
"2001";"San Luis";"hectáreas";"90105";"54655"
"2001";"Santa Cruz";"hectáreas";"4704.75";"500.5"
"2001";"Santa Fe";"hectáreas";"2399";"7"
"2001";"Santiago del Estero";"hectáreas";"1382";"1140"
"2001";"Tierra del Fuego";"hectáreas";"57.1";"56.84"
"2001";"Tucumán";"hectáreas";"600";" -   "
"2002";"Buenos Aires";"hectáreas";"104906.82";"31432.89"
"2002";"Catamarca";"hectáreas";"43524.77";"9097"
"2002";"Chaco";"hectáreas";"144.97";"1.11"
